video_id,title,comments,title_cleaned,comments_cleaned
xuEaBOqxJBc,[놀면 뭐하니?] 황가람 - 나는 반딧불 (FULL ver.)  | #놀면뭐하니? #유재석 #황가람 MBC241228방송,"['요즘이거 광고도 많이 나오던데 알바인가 갑자기 인기급상승1위네', '라디오에서 처음 들었는데 마음이 울컥하게 되더라고요 12월이 참 슬픈 달이기도 한데 이 노래로 위로를 받네요', '마음의 울림이 있는 노래입니다  슬픔도 소망도 기대함도 갖게하는 아름다운 노래ᆢ음색도 넘 감동입니다 감사합니다', '몰락써요~', '원곡자는 밝혀라 마,!', '중식이 버젼이 뭔가 더 이입이 됨.<br>중식이 형님 얼굴 때문인가ㅋㅋㅋㅋ', '가사가  감동을주고 심금을 울린노래는 이노래가 처음입니다<br>최고입니다', '중식이도<br>들어보니좋네', '중식이밴드 노래아니엿나?', '눈물이 나네.']",가람 반딧불 유재석 가람 방송,요즘 광고 알바 갑자기 인기 급상승 라디오 처음 마음 노래 위로 마음 울림 노래 슬픔 소망 노래 음색 감동 몰락  중식 버젼 뭔가 이입 중식 형님 얼굴 때문 가사 감동 심금 노래 노래 처음 최고 중식 이도 어보 중식 밴드 눈물
CxgG78_w684,"황희찬, 손흥민 앞에서 '환상 감아차기 골' 폭발 #SPOTIME","['황희찬 선수, 항상 열정 넘치는 플레이 감사합니다! 힘내세요, 응원합니다!', '손흥민은 맨날 저쪽으로만 차네 ㅋㅋ', '퇴물흥 언제 은퇴함? ㅋㅋ 돈욕심 그득그득하노', '근데 잔디 상태 레전드네 진짜 매일 관리하나보네', '배신자', '패널티킥 키커 좀 바꿔', '느그흥 패널차지마라', '손흥민이 서있네요 ㅋ', '사이좋게  무승부^^~그치만 울찬이는 멋찐 세트피스골  울흥민이는 피케이 실축 둘다 열심히뛰었다 잘했어 모두 다음경기 준비잘해서 좋은모습보여줘 그리고 새해복많이들받고 뭐니뭐니해도 건강이최고니까 아프지말긍 부상조심하고 행복한축구하길바래^^♡', '페널티킥은 차지마라 흥민아']",황희 손흥민 환상 차기 폭발,황희 선수 항상 열정 플레이 응원 손흥민 저쪽 퇴물흥 언제 은퇴 욕심 하노 잔디 상태 레전드 진짜 매일 관리 배신자 패널티킥 패널 손흥민 무승부 세트 피스 흥민 피케 실축 모두 다음 경기 준비 모습 새해 해도 건강 최고 부상 축구 페널티킥 민아
6qiKleVvEiM,김원효♥심진화 부부의 2세는 딸? 아들?? 혹시 쌍둥이?!😮😮 김원효 아빠가 손주랑 제일 먼저 하고 싶은 것은? | 아빠본색,"['반드시 예쁜아기 올꺼예요 응원지지 합니다', '2019년도 방송한  프로그램입니다!!!!!!!!', '이 부부에게 꼭 예쁜아가가 오길 기도할께요', '지금 대한민국은 침략당하고 있습니다. 여러분의 자녀는 더이상 자유인이 아닌 노예가 될 수도 있어요. 부정선거와 주사파에 대해 조사해보고 목소리를 내주세요.', '임신 한건가요?', '기대하고  열었는되  김원효♥심진화님 25년에는 좋은일  있을거예여  하나님이여 이귀한  부부에게 태에문을  열어주세용', '옛날방송인데 2019년도 방송이예요..6년전 방송 입니다. 아버지는  좋은곳 가셨다고 알고있어요....꼭최근꺼처럼 영상 올리시네', '옛날 방송이래요...😢', '축하축하 드려요 건강하고 예쁜아가 기대되네요', '뭐야~참 그러면 몆년전 방송을 어제 한것 처럼~???']",김원효 심진화 부부 아들 혹시 쌍둥이 김원효 아빠 주랑 제일 먼저 아빠 본색,반드시 응원 지지 년도 방송 프로그램 부부 기도 지금 대한민국 침략 여러분 자녀 이상 자유 노예 수도 부정선거 주사파 대해 조사 목소리 임신 건가 김원효 심진화 하나님 이귀 부부 옛날 방송 년도 방송 년전 방송 아버지 최근 옛날 방송 축하 축하 기대 몆년전 방송 어제 처럼
CKiElM7OVJY,이제 작품에서 소리까지 난다고??? 최초의 소리연출 - 마인크래프트 눕프로해커,"['아 ㅋㅋ 전에 오디오트랙 영어로 바꿔놓은거 까먹고 당황했네 ㅋㅋ', '라인상품 투표 사라졌군..', '최신 마크는 급변하고 있는데 아직도 이런 콘테스트나 여시는 겁니까? 기존에 있는 것들 따라 만들기 원툴, 한국인이 제일 잘하는 거긴 하네요.', '눕프핵 4.0이후로 눕프핵의 대격변이 온거같습니다<br>눕프핵 최고에요!!', '얘들아 지금 대한민국은 공산화 직전의 위기야. 부정선거와 주사파에 대해서 조사해봐. 그리고 목소리를 내줘.', '프로들 실력이 심상치않다ㄷㄷ', '매 회차마다 새롭다는 평가가 나와 ㅋㅋㅋㅋ', '와 역시 이번에도 대박이네 ㅋㅋㅋㅎ b~~', '솔직히 롤 언젠간 망하긴할듯 ?? 재미 볼수있을때 재미보자 롤☀지☀️노 ㅋㅋㅋㅋㅋㅋ', '많은 스타유저들의 대회와 솔랭 롤랜드 모든것을 즐기는 명불허전 안전늘이터 롤~지~노']",이제 작품 소리 최초 소리 연출 마인크래프트 프로 해커,오디오 트랙 영어 당황 라인 상품 투표 최신 마크 급변 콘테스트 기존 만들기 원툴 한국인 제일 눕프핵 이후 눕프핵 격변 프핵 최고 지금 대한민국 산화 직전 위기 부정선거 주사파 대해 조사 목소리 프로 실력 상치 차마 평가 역시 이번 대박 재미 재미 지노 스타 유저 대회 솔랭 롤랜드 명불허전 안전 지노
W-Zp03-iUEk,꿀잼,"['아 오늘 유남병운 업로드 해야겠다', '기승전결없는 마무리보고 담배 개말리는지 알바도 담탐하러 나가나보다 인정이지', 'the way they looked at them has me in tears 💀', '<a href=""https://www.youtube.com/watch?v=W-Zp03-iUEk&amp;t=192"">3:12</a> 나도 저리 봤을거야 ㅋ', '<a href=""https://www.youtube.com/watch?v=W-Zp03-iUEk&amp;t=330"">5:30</a> ㅋㅋㅋㅋㅋㅋ', '<a href=""https://www.youtube.com/watch?v=W-Zp03-iUEk&amp;t=230"">3:50</a> 서비스 주는거 ㅈㄴ 웃기네', 'so goodgoodgood', '근데 여친은 남친 친구가 홍대에 있는걸 어케 알고있는거임? 혹시..', '알바생은 왜 그만두고 나간건뒈에 ㅋㅋㅋㅋㅋㅋㅋㅋ', '그래도 싫은데용']",꿀잼,오늘 유남병운 업로드 기승 전결 마무리 보고 담배 알바 인정  저리  서비스 웃기  여친 남친 친구 홍대 어케 혹시 알바생 
VT2eks-3RSw,절대로 놓쳐야 될 남자,"['올해 마지막 선물은 팬암X짧은대본과 함께🎁\r<br>✔카카오 선물하기에서 팬암 검색하고 따뜻한 연말 선물하기\r<br>✔짧은 대본 유튜브 커머스&amp;팬암 자사몰에서 착용아이템 확인!\r<br>멤버십 가입 - <a href=""https://www.youtube.com/channel/UChgOgRNxrtCcVARDQT_c-Zg/join"">https://www.youtube.com/channel/UChgOgRNxrtCcVARDQT_c-Zg/join\r</a><br>\r<br>유남 - 김규남 <a href=""https://www.instagram.com/knamiiiiii?igsh=NDFxaTA4Z3dtMWJ4"">https://www.instagram.com/knamiiiiii?igsh=NDFxaTA4Z3dtMWJ4\r</a><br>병운 - 배재성 <a href=""https://www.instagram.com/b_jae94?igsh=MTF4dWZ3cnVrNmM1eA=="">https://www.instagram.com/b_jae94?igsh=MTF4dWZ3cnVrNmM1eA==\r</a><br>재우 - 정우재 <a href=""https://www.instagram.com/mimi.banggu?igsh=Ym1uMnAyYmJ1eWdx"">https://www.instagram.com/mimi.banggu?igsh=Ym1uMnAyYmJ1eWdx\r</a><br>정국 - 남중규<a href=""https://www.instagram.com/namdoonggu?igsh=MTdxdWcxMXVqc2VlZg=="">https://www.instagram.com/namdoonggu?igsh=MTdxdWcxMXVqc2VlZg==\r</a><br>아라 - 이아라<a href=""https://www.instagram.com/ara_mola_?igsh=MTZwb2RudGtnYTI3aQ=="">https://www.instagram.com/ara_mola_?igsh=MTZwb2RudGtnYTI3aQ==\r</a><br>동국 - 김동우 <a href=""https://www.instagram.com/dwooo_?igsh=ZTFsbjAwM3Rwd2lk"">https://www.instagram.com/dwooo_?igsh=ZTFsbjAwM3Rwd2lk\r</a><br>홍채 - 홍은채<a href=""https://www.instagram.com/eunchaehong?igsh=MWRzYW9hbnhzdDNueQ=="">https://www.instagram.com/eunchaehong?igsh=MWRzYW9hbnhzdDNueQ==\r</a><br>\r<br>그리고 짧은대본 <a href=""https://www.instagram.com/short_paper"">https://www.instagram.com/short_paper\r</a><br>배우지원 - short_audi@<a href=""http://naver.com/"">naver.com</a>', '알고리즘으로 규남이 보고 바로 채널 보게되네 ;; 규남이 알고리즘 쩐다 ~!!! +_+ 띱말고도 규남이를 볼수 있다니 럭키비키자나 !!! ㅎㅎ', '이거지 .. 이거지 .. ㅠㅠㅠ 옛날의 설렘이 다시 찾아왔다 ㅠㅠ 하 옛날 짧대 감성 돌아왔따 ㅠㅠㅠㅠㅠㅠㅠㅠ 아 진짜 행복해 죽을 것 같아', '귀엽당', '<a href=""https://www.youtube.com/watch?v=VT2eks-3RSw&amp;t=318"">5:18</a> 아 진짜 개쳐웃었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '아.. 광대가..나도 모르게 웃고있었네 ^^ 오랫만에 설레이게 해줘서 고마워요 짧대', '<a href=""https://www.youtube.com/watch?v=VT2eks-3RSw&amp;t=400"">6:40</a> 추영우 배우님❤😊', '여긴 직장인은 없고 전부 알바나 하는 인간만 나옴? 존나 앰생이네', '아 띱인줄알고 남주들왜안나오나했네 규남~~~', 'ㅋㅋㅋ 흑화하는거 개웃끼네 ㅋㅋㅋㅋㅋㅋㅋ']",절대로 남자,올해 마지막 선물 팬암 대본 카카오 선물 팬암 검색 연말 선물 대본 유튜브 커머스 팬암 자사 착용 아이템 확인 멤버십 가입 유남 김규남 병운 배재성 재우 정우 정국 남중 이아 동국 김동우 홍채 대본 배우 지원 알고리즘 규남 보고 바로 채널 규남 알고리즘 쩐다 규남 럭키 비키 옛날 다시 옛날 감성 진짜  진짜 광대 가나 추영 배우 직장인 전부 알바 인간 존나 앰생 띱인줄알 안나 규남 흑화
oiOv0exhgyE,이것은 새로운 시작🩵을 위한 발돋움일 뿐! | IMHERO THE STADIUM CONCERT 비하인드,"['임영웅  보기만 해도 고생 했을것 생각하면 울컥하고 이렇게 멋지고 사랑스런 가수는  내 일생 처음 많은 가수들 콘서트 다녀봤지만   이렇게 빠져본 가수는 임영웅  뿐이다   임영웅  소신대로 하고 싶은것 할수 있도록 열 응원합니다', '임영웅 🩵2025년 1월 브랜드 평판<br>광고 모델 부문 3위 축하합니다 🥳<br>&quot;멋진 노래를 들려 드리자<br>나의 인생은 임영웅 덕분에 변했다<br>여러분들의 인생을 노래할 수 있어서<br>저는 너무 행복한 가수인것 같습니다<br>나에게 있어서 영웅시대는 전부다<br>제 삶 자체입니다 ㅡ 임영웅 <br>임영웅 영웅시대  응원합니다', '임영웅 오늘두번째 콘서트 마음이많이무겁지요그때는이런참사가 있을줄꿈ㅇ엔들 생각했나요 하지만슬픔에계신분위기을 임영웅 좋은노래로  위로해보는것도 위로가되지않을까요 앞으로그분들의 희망을 위해 건행 사랑합니다', '임영웅 <br>그누구도 넓은 마음을 가진 <br>우리들의 영원한 우주 임영웅님 <br>그마음을 헤아릴수<br>있기에<br>더 가슴이 먹먹하고 <br>더 열응합니다 <br>노래로 힘든 마음<br>다 털어 버리고<br>행복만 가득한 <br>마니마니 웃는<br>새해가 되세요 <br>고척돔 리사이틀 <br>초대박 왕대박 대성공적으로 대성료 하세요 <br>사랑합니다 건행 하세요 ㄱ 🩵 🙏', '어제 리사이틀도 너무 행복하고 가슴 벅찼는데\r<br>이 아침 이 영상을 보니 다시 또 그 날 상암의\r<br>기억이 떠올라 가슴뛰네요\r<br>임영웅님 오래오래 살아있는 동안', '임영웅 <br>얼마나 맘고생<br>하면서<br>고심끝에 어렵게 결정하신 <br>고척돔 리사이틀 <br>최상의 컨디션으로 건강하게 무탈하게 대성공적으로 대성료 하세요 <br>언제나 응원 합니다 <br>사랑합니다 축복합니다 <br>이세상에서 영원히 찬란하게 빛나세요 🩵 🙏', '임영웅 🩵 리사이틀 <br>어떤 마음으로 공연 준비를 했는지 <br>어떤 고민들을 했는지 영상 곳곳에 <br>애쓰고 고민을 한 흔적들에 마음이 <br>뭉클하고 코끝이 시큰해집니다. <br>팬들에게 최상의 모습을 보여 주기 <br>위해 날마다 온몸이 부서지도록 <br>연습을했을 아티스트 임영웅 <br>가슴에는 언제나 팬들에게 감사하는 <br>마음을 담고 베푸는 사랑을 실천하고 <br>있는 임영웅 님이 자랑스럽네요<br>팬들에게 임영웅 의 진실된 마음은 <br>언제 어디서나 늘 통하고 있답니다<br>임영웅 함께 하는 모든 날 응원합니다', '울대장 임영웅  ❤❤❤❤❤  영웅님 어려운 결정 존중합니다 영웅님 힘내세요', '임영웅 역시 진중하고 마음이 아름다운 가수 모든순간 ㅇ싣고 응원합니다  최고입니다', '아휴   경국  콘서트  햇네 !  그래서  좋냐  ??']",시작 발돋움 비하인드,임영웅 보기 해도 고생 생각 가수 일생 처음 가수 콘서트 가수 임영웅 임영웅 소신 응원 임영웅 브랜드 평판 광고 모델 부문 축하 노래 인생 임영웅 덕분 여러분 인생 노래 가수 영웅시대 전부 자체 임영웅 임영웅 영웅시대 응원 임영웅 오늘 두번째 콘서트 마음 그때 참사 생각 슬픔 분위기 임영웅 노래 위로 위로 희망 위해 건행 사랑 임영웅 누구 마음 우리 우주 임영웅 마음 가슴 노래 마음 행복 새해 고척돔 리사이틀 대박 대박 대성공 대성 사랑 건행 어제 리사이틀 가슴 아침 다시 상암 기억 가슴 임영웅 오래오래 동안 임영웅 얼마나 고생 고심 결정 고척돔 리사이틀 최상 컨디션 대성공 대성 응원 사랑 축복 세상 임영웅 리사이틀 마음 공연 준비 고민 곳곳 고민 흔적 마음 코끝 최상 모습 주기 위해 온몸 연습 아티스트 임영웅 가슴 마음 사랑 실천 임영웅 임영웅 마음 언제 어디 서나 임영웅 모든 응원 대장 임영웅 영웅 결정 존중 영웅 임영웅 역시 마음 가수 순간 응원 최고 경국 콘서트
N6p1MT-RAwE,최초의 여성 자연인 등장?! 향기를 빚는 자연인 전문희｜자연인 하이라이트 16회,"['진짜 승윤이형 이러다 본인이 자연인 될거같다 진짜', '썸네일 장지수(꽈뚜룹) 인줄...', '승윤씨 이때는 정말 어려보이고 이쁘네요~^^', '방송을 100% 미을 수 있을지 의문이다', '전부 거짓말  길도 없는 산길. 떡하니 올라가면 번듯한 집이 ㅋ. 되더체 말이 않되는. 식량이며 생필품 일일히. 사람이 메고 올라가나 ㅋ', '일부러 길없는 곳으로 가는 연출 그만해라.가짜 자연인 촬영도 ...사람이 사는데 길없는. 곳이 어디있나', '남자야 여자야', '밥은 잘 챙겨주고 일시켜야지ᆢ', '젊은시절에 어머니를위해 산에들어가신 효심이 존경스럽습니다', '넥기놈.  거기가. 어디인지 알려줄수. 없을까유']",최초 여성 자연인 등장 향기 자연인 문희 자연인 하이라이트,진짜 승윤 이형 본인 자연인 진짜 썸네일 장지수 꽈뚜룹 윤씨 정말 보이 방송 의문 전부 거짓말 산길 더체 식량 생필품 일일 사람 일부러 연출 가짜 자연인 촬영 사람 어디 남자 여자 일시 시절 어머니 위해 효심 존경 넥기놈 거기 어디
FD8CrW8xn_c,7년을 기다린 순간... 수지야!!!! '수지 : ??' | 헨리(Henry) - 'It's You' | #나라는가수,"['<a href=""https://www.youtube.com/watch?v=FD8CrW8xn_c&amp;t=100"">1:40</a>', 'Que lindo! Henry tão talentoso! Eu amo essa música e While You Were Sleeping', '수지야 오빠 노래한다---대박', '❤️', 'Goosebumps 🩷🩷🩷', 'Henry has never disrespected Korea, yet some haters spread false information. Stop it right now and just enjoy the music', 'This is one of the best live performances ive ever seen.', 'which drama they film?', 'Suzi baka ijw na kc yun😊', 'This is the highlight in the episode. So beautiful ❤️']",순간 수지 수지 헨리 나라 가수,  수지 오빠 노래 대박       
OzFca_CW5ns,[8회 하이라이트] 죄의식 1도 없는 악덕 전익령에게 💥당해주는 척💥 역관광하는 임지연 (ft. 연우의 자백) | 옥씨부인전 | JTBC 241229 방송,"['대한민국은 지금 공산화 직전의 상황입니다. 부정선거와 주사파에 대해 조사해보세요. 대한민국의 서방세계 무리에서 이탈하면 북한과 중국의 먹이감이 되고, 이 땅은 전쟁의 화마에 휩사이게 됩니다. 우크라이나 처럼요.', '자라나는 새싹들 즈려 밟는 돌아버린 클라스 배팅계의 애르메스 스포짱으로 초대합니다', '24시간 365일 내내 여러분과 함깨 할 준비가 되어있는 뷋팅업계 최고 스포짱으로 냉큼 오슈', '딴대서 억까 그만당하고 사대 잘맞는 스포짱에서 제대로함 놀아보입시다요', '대세는 이제 스포짱입니다.. 스포짱은 진짜 유행그 잡채 입니다.. ㅎ', '스포짱은 이렇게나 할게 많습니다. . 없는게 없는 진짜 꿀덩이리 스포짱', '스포짱이 머니?? 레알 팩트 개꿀 스포짱 지금바로 서치 하고 가읩 고고 해보아요', '슻포츠,까지노. 이슷포츠  없는게 없는 진짜 미칀 스포짱 … 시간낭비 그만하고 빨리 ㄱ', '이름이 그냥 촥촥 감기는게 안하고 배길수가 없다 미칀 이벤트와 혜택 다양한 겜까지..', '스포짱은 여러분과 함께 할 준비가 되었습니다.. 미쳐버린 겜들이 이렇게나 많이 ??']",하이라이트 의식 악덕 전익령 관광 임지연 연우 자백 옥씨 부인 방송,대한민국 지금 산화 직전 상황 부정선거 주사파 대해 조사 대한민국 서방 세계 무리 이탈 북한 중국 먹이 전쟁 화마 휩사이 우크라이나 처럼 새싹 클라스 배팅계 애르 메스 스포 초대 시간 내내 여러분 함깨 준비 뷋팅 업계 최고 스포 냉큼 오슈 대서 당하 사대 스포 제대로 대세 이제 스포 스포 진짜 유행 잡채 스포 진짜 덩이 스포 스포 레알 팩트 개꿀 스포 지금 바로 서치 가읩 고고 포츠 포츠 진짜 미칀 스포 시간 낭비 이름 그냥 촥촥 배길수 미칀 이벤트 혜택 스포 여러분 준비
i2Wf5zXoDrU,7년간의 장거리 연애 끝에 프러포즈 받은 날 | 우리의 첫 시작이었던 그곳에서 🇨🇦,"['분명 개그커플이였는데.. 모아서 보니 사랑이였다ㅠㅠ 넘무 축하해요..ㅠㅠㅠㅜㅜ엉엉엉', '이뿌다ㅠㅠ 축하드려요!!', '남자가 이래 책임을 져야지~ 구독!', '주모! 락스한잔 온더락으로!', '댓글에서 다들 울었다고해서 왜울지 했는데 저도 터져 버렷네요ㅠㅠ 예전 코로나 만남에서 울려버리더니 또 울려버리고!!!많은 사람들의 눈물이 두분의 축북이되어 더더더더 행복하세요~!!!!!', 'ㅠㅠㅠㅠ내가 드뎌 이날을 기다려왔다구요!!!!!!!! 나도 울어버렸다 😭 혜진 코타 행복하자❤', '추카해요엉니❤❤❤❤❤🎉🎉🎉🎉🎉😢😢😢😢😢😢엉엉', 'such a good loking couple full of love omfg idek you but this got recommended to me and i clicked bc i saw love and that was really heartwarming, thank you for sharing with us', '30만 되면 프로포즈 비하인드 궁금해요 ~봐도봐도 감동인데 어떻게  잘 준비했는지 ㅎ  코타  마니콧다요 ~😄', '하루에 한번씩 보면서 눈물줄줄해조야됨.<br>코타 혜진 수인 이 셋의 새로운 시작 이제부터다.']",장거리 연애 프러포즈 우리 시작,분명 개그 커플 사랑 축하 축하 남자 책임 구독 주모 락스 한잔 더락 왜울 버렷네 예전 코로나 만남 사람 눈물 축북 더더 더더 드뎌 혜진 코타 추카 엉엉  프로포즈 비하인드 감동 준비 코타 마니콧다 하루 한번 눈물 줄줄 해조 코타 혜진 수인 시작 부터
